-33.482471,150.136307,Lithgow
-37.830789,147.651752,Bairnsdale East
-20.01367,148.247543,Bowen
-23.126829,150.744064,Yeppoon
-35.706581,150.175415,Batemans Bay
-34.668282,150.852188,Kiama
-33.652489,115.345497,Busselton
-17.522091,146.031021,Innisfail
-14.46517,132.263474,Katherine
-21.99828,148.034836,Moranbah
-29.7,152.95,South Grafton
-27.18169,151.262054,Dalby
-20.07671,146.263535,Charters Towers
-23.522961,148.157837,Emerald
-35.3383,143.552652,Swan Hill
-35.359058,150.472473,Ulladulla
-38.339001,143.584885,Colac
-19.573931,147.406662,Ayr
-37.74334,142.028915,Hamilton
-26.53994,151.837296,Kingaroy
-29.774031,151.111664,Inverell
-29.46278,149.841568,Moree
-35.532447,144.953643,Deniliquin
-33.86013,121.882591,Esperance
-35.550419,138.621536,Victor Harbor
-34.313499,148.301071,Young
-24.88073,113.659401,Carnarvon
-34.551048,146.404831,Leeton
-30.98065,150.258377,Gunnedah
-30.333333,149.75,Narrabri West
-37.04562,143.739227,Maryborough
-37.05632,142.780884,Stawell
-17.268641,145.47522,Atherton
-33.835541,148.696625,Cowra
-28.64201,153.611938,Byron Bay
-35.300159,148.225052,Tumut
-36.234692,149.125977,Cooma
-36.930099,149.874496,Pambula
-24.395895,150.515043,Biloela
-18.65,146.166667,South Ingham
-33.417358,149.581284,Bathurst
-37.285419,142.927277,Ararat
-38.605862,145.593552,Wonthaggi
-31.649321,116.674232,Northam
-15.77813,128.744141,Kununurra
-26.56741,148.787506,Roma
-32.59948,149.587067,Mudgee
-23.394506,119.729637,Newman
-12.55397,131.111649,McMinns Lagoon
-33.384361,148.007599,Forbes
-34.281071,140.599579,Berri
-35.920689,145.640656,Cobram
-32.05014,150.868927,Scone
-28.5464,150.307297,Goondiwindi
-34.241219,116.145638,Manjimup
-32.932819,117.177628,Narrogin
-40.845868,145.124975,Smithton
-20.4011,148.5802,Proserpine
-33.68787,117.558403,Katanning
-37.02655,145.139236,Seymour
-33.833248,138.610641,Clare
-33.42979,151.371445,Central Coast
-16.483829,145.467255,Port Douglas
-23.44212,144.249207,Longreach
-12.62346,141.87883,Weipa
-33.938808,137.633652,Wallaroo
-22.69408,117.787651,Tom Price
-31.48094,118.274483,Merredin
-36.307678,140.771667,Bordertown
-30.09008,145.945435,Bourke
-41.121545,147.559519,North Scottsdale
-42.080502,145.556458,Queenstown
-26.40542,146.242737,Charleville
-29.43545,153.360306,Yamba
-34.375061,136.103333,Tumby Bay
-34.63084,117.666061,Mount Barker
-32.97205,138.840729,Peterborough
-33.308941,117.343277,Wagin
-32.121559,133.678665,Ceduna
-27.710501,114.165047,Kalbarri
-37.375198,140.836777,Penola
-35.688412,139.338562,Meningie
-31.347219,115.90432,Gingin
-35.070869,142.320343,Ouyen
-29.283333,114.916667,Port Denison
-18.22485,127.666473,Halls Creek
-20.70718,140.513031,Cloncurry
-42.30302,147.367233,Oatlands
-22.381849,143.042404,Winton
-33.583031,120.046883,Ravensthorpe
-21.940201,114.125008,Exmouth
-23.55353,145.285416,Barcaldine
-32.79924,134.211594,Streaky Bay
-32.197689,121.778732,Norseman
-25.245291,130.980545,Yulara
-18.29199,143.545837,Georgetown
-21.639179,116.322227,Pannawonica
-13.82077,131.832947,Pine Creek
-26.59524,118.493927,Meekatharra
-33.14164,136.418747,Kimba
-22.91139,139.909348,Boulia
-21.636869,115.111687,Onslow
-26.61348,144.269485,Quilpie
-33.68227,136.921173,Cowell
-30.44972,137.163651,Andamooka
-25.370609,151.122589,Eidsvold
-31.19981,136.832581,Woomera
-31.56031,143.377045,Wilcannia
-28.064791,117.849037,Mount Magnet
-20.84399,144.200348,Hughenden
-28.625311,122.399399,Laverton
-20.73243,143.143555,Richmond
-25.898001,139.351726,Birdsville
-32.900379,144.301498,Ivanhoe
-29.21343,116.007912,Morawa
-24.94743,150.075287,Theodore
-13.23943,131.10733,Adelaide River
-28.88509,121.330742,Leonora
-36.83073,139.852203,Kingston South East
-27.99498,143.823914,Thargomindah
-17.741051,139.547745,Burketown
-29.533609,115.760529,Three Springs
-31.22677,119.323761,Southern Cross
-19.921539,138.120132,Camooweal
-41.884764,148.301446,Bicheno
-17.488819,140.838196,Karumba
-25.42224,142.656597,Windorah
-24.3637,139.465277,Bedourie
-30.9,135.3,Kingoonya
-37.813938,144.963425,Melbourne
-39.929759,143.853847,Currie
43.6454,-116.6599,Caldwell
43.4872,-112.0363,Idaho Falls
46.3934,-116.9934,Lewiston
42.8716,-112.4652,Pocatello
47.7203,-116.9396,Post Falls
43.8222,-111.7924,Rexburg
42.5648,-114.4617,Twin Falls
43.16103,-77.610924,Rochester NY
42.88023,-78.878738,Buffalo NY
43.088947,76.15448,Syracuse NY
42.098843,-75.920647,Binghamton NY
42.887535,-77.281698,Canandaigua NY
42.998116,-78.187515,Batavia NY
